DIA_SEMANA,ANIO_Y__MES_EVENTO,SEMANA_ANIO,DIA_EVENTO
Martes,200208,33,13
Domingo,200208,32,11
Miercoles,200209,37,11
Domingo,200209,36,8
Jueves,200612,49,7
Domingo,200209,39,29
Viernes,200209,39,27
Domingo,200209,39,29
Domingo,200209,37,15
Lunes,200210,43,21
Lunes,200210,44,28
Sabado,200210,40,5
Domingo,200210,40,6
Domingo,200210,40,6
Viernes,201006,23,11
Sabado,200211,46,16
Viernes,200211,48,29
Sabado,200301,2,11
Lunes,200809,39,22
Miercoles,200506,22,1
Domingo,200301,4,26
Miercoles,200301,4,22
Sabado,200301,4,25
Miercoles,200301,4,22
Viernes,200301,4,24
Jueves,200302,8,20
Jueves,200302,8,20
Jueves,200302,9,27
Viernes,200501,2,14
Martes,200302,6,4
Domingo,200302,7,16
Martes,200302,8,18
Domingo,200302,8,23
Miercoles,200302,6,5
Miercoles,200311,46,12
Lunes,200302,6,3
Jueves,200302,8,20
Jueves,200303,10,6
Domingo,200303,9,2
Martes,200303,11,11
Sabado,200303,13,29
Jueves,200303,12,20
Sabado,200304,14,5
Sabado,200303,11,15
Viernes,200303,10,7
Domingo,200303,11,16
Jueves,200304,17,24
Miercoles,200304,15,9
Viernes,200304,15,11
Martes,200304,18,29
Martes,200304,16,15
Sabado,200304,15,12
Lunes,200305,19,5
Jueves,200305,18,1
Domingo,200305,19,11
Jueves,200305,22,29
Jueves,200305,19,8
Domingo,200306,25,22
Martes,200306,24,10
Viernes,200306,25,20
Sabado,200306,26,28
Miercoles,200307,31,30
Martes,200307,28,8
Jueves,200307,31,31
Viernes,200308,34,22
Domingo,200308,31,3
Sabado,200308,35,30
Domingo,200512,51,25
Sabado,200308,33,16
Viernes,200308,35,29
Sabado,200308,34,23
Viernes,200308,34,22
Domingo,200309,36,7
Domingo,200309,36,7
Lunes,200310,43,20
Lunes,200310,43,20
Viernes,200310,43,24
Martes,200310,42,14
Viernes,200310,40,3
Domingo,200310,41,12
Jueves,200311,46,13
Sabado,200311,44,1
Sabado,200311,44,1
Domingo,200311,46,16
Jueves,200312,52,25
Lunes,200312,50,8
Martes,200312,52,23
Jueves,200312,52,25
Sabado,200312,50,13
Sabado,200312,51,20
Miercoles,200312,50,10
Miercoles,201104,17,27
Viernes,200312,52,26
Domingo,200312,49,7
Domingo,200312,50,14
Domingo,200312,50,14
Jueves,200401,4,22
Sabado,200401,5,31
Jueves,200401,1,1
Jueves,200401,2,8
Viernes,200401,5,30
Viernes,200401,2,9
Viernes,200401,1,2
Domingo,200402,7,15
Jueves,200402,8,19
Miercoles,200402,7,11
Miercoles,200402,8,18
Domingo,200403,10,7
Sabado,200403,11,13
Martes,200403,10,2
Domingo,200403,11,14
Domingo,200403,12,21
Domingo,200403,10,7
Viernes,200403,12,19
Miercoles,200403,11,10
Domingo,200403,12,21
Viernes,200404,17,23
Sabado,201110,43,29
Sabado,200404,17,24
Viernes,200405,22,28
Miercoles,200405,20,12
Domingo,200405,20,16
Sabado,200405,22,29
Viernes,200405,22,28
Sabado,200405,20,15
Lunes,200406,25,14
Viernes,200406,25,18
Lunes,200406,25,14
Sabado,200406,26,26
Domingo,200406,26,27
Lunes,200406,24,7
Sabado,200406,25,19
Domingo,200406,24,13
Sabado,201005,19,15
Jueves,200407,29,15
Domingo,200407,27,4
Jueves,200407,30,22
Sabado,200407,27,3
Martes,200408,32,3
Sabado,200408,35,28
Viernes,200408,35,27
Domingo,200408,34,22
Martes,200603,11,14
Lunes,200408,32,2
Sabado,200408,32,7
Martes,200409,38,14
Miercoles,200409,40,29
Martes,200409,39,21
Viernes,200409,39,24
Sabado,200409,38,18
Domingo,200411,45,7
Lunes,201003,10,8
Jueves,200903,10,5
Domingo,200712,51,23
Viernes,200411,46,12
Jueves,200411,45,4
Lunes,200411,46,8
Martes,200411,49,30
Viernes,200411,48,26
Lunes,200412,53,27
Jueves,200412,51,16
Domingo,200412,52,26
Sabado,200412,52,25
Miercoles,200605,21,24
Miercoles,200412,51,15
Lunes,200412,51,13
Viernes,200412,52,24
Lunes,200412,52,20
Sabado,200412,52,25
Viernes,200501,2,14
Jueves,200501,3,20
Domingo,200501,3,23
Sabado,200501,53,1
Lunes,200501,5,31
Viernes,200502,6,11
Domingo,200508,32,14
Sabado,200502,6,12
Jueves,201104,14,7
Viernes,200502,6,11
Domingo,200502,6,13
Miercoles,201201,1,4
Miercoles,201201,1,4
Sabado,201201,2,14
Domingo,200904,17,26
Miercoles,201201,4,25
Lunes,201202,6,6
Jueves,201204,16,19
Sabado,201205,19,12
Domingo,201206,24,17
Viernes,201202,8,24
